i,j,dist,angle,frame
16,2,8.106828356391913,33.744896006385744,0
2,19,8.18841773482521,117.09310399498364,0
19,16,1.0859065337311495,150.83800000136935,0
2,1,2.5194358495504496,39.21409951402907,0
1,19,8.105293702266437,77.87900448095456,0
2,0,2.7146642517998414,29.000930063345383,0
0,1,2.2782644710393036,68.21502957737442,0
2,3,4.1354517286506915,97.27502045524346,0
3,0,5.667491949707561,68.27409039189808,0
5,6,6.388004070130199,80.14112419387735,0
6,7,0.38351271165373374,35.37233612785004,0
7,5,6.6677649928593015,44.768788066027305,0
13,6,5.866366251778011,60.74149719045648,0
5,13,7.403787746822568,19.399627003420854,0
8,6,4.1574926337878235,3.1429199312734077,0
13,8,3.299266585167072,57.59857725918315,0
6,17,4.7821804650180235,159.80368931562458,0
17,7,4.761520765469788,164.82397455652534,0
8,17,2.557972048322656,162.94660924689794,0
3,4,3.4340595510270346,40.47882353238367,0
4,0,8.223595928789305,27.79526685951445,0
4,13,6.9932894977971545,172.89409498444897,0
5,4,1.9285593068402125,167.70627801213018,0
3,13,5.180697732931348,132.41527145206527,0
18,2,3.091644546192204,75.73367641780362,0
16,18,7.240366841535035,109.47857242418935,0
11,18,3.658737623826011,139.1063444728434,0
16,11,5.101352859781413,29.62777204865404,0
18,3,3.1389388334276274,173.0086968730471,0
8,9,4.288436778127899,136.20895668701368,0
9,17,5.601321004905897,60.84443406608838,0
3,12,3.0491416825067352,18.74964743411724,0
12,13,3.0652285396035324,151.16491888618253,0
18,12,1.0154299581950494,154.25904943892985,0
12,11,3.3603757230405056,15.1527049660864,0
11,13,3.2037648165868866,166.31762385226898,0
11,14,3.3607514040761783,115.07199671990053,0
14,13,1.7095476009751827,78.61037942783055,0
9,14,2.6925187093128993,0.0,0
11,9,3.107161566446136,115.07199671990053,0
14,8,2.282075590334377,136.20895668701368,0
15,11,3.248428697078019,126.14448263339185,0
16,15,2.428972210627368,155.7722546820459,0
10,9,1.9784044075971927,175.44422467124645,0
11,10,3.4276150600672772,60.372227951345955,0
15,10,2.3953162630433584,65.77225468204588,0
10,17,7.435275179843717,114.59979060515812,0
16,10,4.748249572210796,90.0,0
